"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"10548525"	-8.1958545684732	5.22880610470485	-59.9674837804699	1.72768246922682e-27	6.00542426303242e-23	51.0925405642615
"10548422"	-6.71993080502922	5.22542478458395	-56.0153267256437	8.66117436998513e-27	1.50531210550341e-22	49.8152463922955
"10548504"	-7.36000086705391	5.74572046704271	-55.0139067461183	1.32651273661395e-26	1.53698609082337e-22	49.470698146395
"10548513"	-7.38231184761171	5.26289422693687	-49.9163092700142	1.31746950946972e-25	1.14488100372919e-21	47.569545628458
"10430344"	-7.15972948732105	8.38342072281463	-43.1024504315687	4.17982646955122e-24	2.42151280136001e-20	44.5758700744294
"10548307"	-6.97636037387308	5.70726482428182	-42.4781961322652	5.89023223317239e-24	2.5593059053134e-20	44.2711749621979
"10420308"	-7.92723029406304	7.44465256259639	-39.5105444833314	3.22732758203971e-23	1.24646563057445e-19	42.7419907004122
"10549647"	-7.54776708354858	6.4144463592833	-38.4765131021413	6.01125596346075e-23	1.89955688445360e-19	42.1756162994036
"10548511"	-6.29342915922255	4.32158564606605	-37.7077839805248	9.64680454303328e-23	2.79435771596531e-19	41.7424757721355
"10608686"	-6.38860503496685	4.907353885044	-35.9109135091802	3.0255345661745e-22	8.08981396309427e-19	40.6874692123236
"10607738"	-5.96412301872397	6.68093386245049	-35.6783132923146	3.52216036410276e-22	8.74502101830084e-19	40.5463412800718
"10542214"	-7.07139270991382	7.0801184145332	-35.1116796412221	5.12107508370616e-22	1.10244805583232e-18	40.1979757501133
"10363475"	-5.17310645517323	8.53918682363873	-35.0343965591395	5.39171949054933e-22	1.10244805583232e-18	40.1499530309651
"10450075"	-5.34958257387554	10.9797834134387	-34.7268814074434	6.62517258588164e-22	1.25289347173479e-18	39.9576365757773
"10589994"	-5.2463897742108	7.63642737352007	-34.4691222297775	7.88461541169246e-22	1.27537139728687e-18	39.7949050756930
"10608652"	-5.65466870648728	5.36691266225699	-34.4344820039221	8.07197086890424e-22	1.27537139728687e-18	39.7729280185601
"10360173"	-6.27332873638228	8.18407108049355	-33.2112366205204	1.87763572925510e-21	2.60146136580966e-18	38.9800730160673
"10461605"	-5.5203474115356	7.27315789464379	-32.9290084728087	2.29108051721985e-21	2.94955402883562e-18	38.7923834321828
"10548286"	-5.35819553087283	5.21480605743449	-32.7415156503278	2.6172868791505e-21	3.24917471140255e-18	38.666678527822
"10404429"	-6.74968631560417	6.87547455826135	-32.4308131310017	3.26854470982627e-21	3.80595836881908e-18	38.4565547560825
"10571344"	-3.72667488256886	8.2611896247284	-32.4239197329711	3.28477419633407e-21	3.80595836881908e-18	38.4518669735961
"10461723"	-4.22712137316793	9.3876992016455	-32.3392537386295	3.49109273927647e-21	3.90976327763806e-18	38.3941984728806
"10548535"	-6.03127846963801	5.75532681975309	-32.129545810664	4.06233804833323e-21	4.27899607757767e-18	38.2506212577407
"10548409"	-6.74008440122916	6.3219505183583	-31.6651161993332	5.70173889879186e-21	5.82918953300015e-18	37.9288475113312
"10489759"	-4.77905822078336	7.00685378817154	-31.5639445671463	6.14262390740946e-21	6.10050305775865e-18	37.8580475019133
"10598013"	-6.52789555770383	6.79723822362068	-31.4970110754661	6.45369421548129e-21	6.12759219926504e-18	37.8110671928713
"10545135"	-5.27850086442675	7.38916441917909	-31.4826670057227	6.52246580474127e-21	6.12759219926504e-18	37.8009845819092
"10412267"	-5.37039030667165	6.98629112261927	-31.1289495695714	8.48336290674744e-21	7.56106909329593e-18	37.5507116861503
"10566578"	-6.39821868503777	8.2363434384799	-30.8382602408376	1.05514766141439e-20	9.169233177691e-18	37.3426439390774
"10529711"	-4.31694070050270	6.4558172488597	-30.3439004498677	1.53607700466422e-20	1.27128658766972e-17	36.983733562558
"10486396"	-4.28732371611873	8.15981664369578	-30.2799635489025	1.61321257921035e-20	1.29742464973274e-17	36.9368416277012
"10608659"	-5.17890013756048	4.30467830966871	-29.7173177278568	2.49349109275533e-20	1.92608334187056e-17	36.519417201805
"10385511"	-4.04140955493151	8.42304198875939	-29.5047415573315	2.94540716858297e-20	2.22570332999878e-17	36.3594391854973
"10421293"	-3.86257329397801	9.64529353192744	-29.3394130819064	3.35542591126276e-20	2.48158733352114e-17	36.2341421245817
"10548396"	-5.75855581797718	4.76684771564288	-29.2498538632267	3.60193471230988e-20	2.57773050074518e-17	36.1659450240064
"10566583"	-5.40874862781236	9.1639603114913	-29.0431542287028	4.24557387548508e-20	2.95152295823723e-17	36.0076737263304
"10351504"	-5.53292154352935	10.5382530725863	-28.7521520944381	5.36139528518479e-20	3.63760441556789e-17	35.782758180682
"10459905"	-3.97921308844903	7.51289968787935	-28.7252110152307	5.47909837141853e-20	3.63760441556789e-17	35.7618103098865
"10389207"	-5.6640192773642	8.69489145341855	-28.7100746243220	5.54640489140098e-20	3.63760441556789e-17	35.7500317368348
"10548455"	-4.08076567264851	4.78839502288421	-28.5004580593677	6.57228028743145e-20	4.07950826412709e-17	35.5862196766805
"10406663"	-5.51478399190574	8.59272631119071	-28.3423229230599	7.47581968991791e-20	4.55893846353590e-17	35.4617733343180
"10538126"	-6.27325609465813	9.4714964661641	-28.2573389045664	8.01392310656287e-20	4.72142317261229e-17	35.394583540507
"10544660"	-4.29745588326024	7.93954854260078	-28.2202521186904	8.26124101544895e-20	4.78601229495009e-17	35.3651936553063
"10576034"	-4.68604701847753	9.05855243080504	-28.1658186074479	8.63871695953375e-20	4.92265248382612e-17	35.3219815470985
"10366586"	-5.28751513744441	6.53001177491145	-27.9119267323570	1.06518335926449e-19	5.95311353316858e-17	35.1192328372206
"10554013"	-3.87217850881002	10.0865512678610	-27.8964230532529	1.07895901205299e-19	5.95311353316858e-17	35.1067879121735
"10548401"	-6.03932796709757	6.1593769401449	-27.6954448644875	1.27530247492188e-19	6.92648656691947e-17	34.9447852162143
"10548105"	-5.2906333622044	10.0948514816472	-27.6733103704695	1.29909275027352e-19	6.94714830761656e-17	34.9268661379249
"10412211"	-6.79873935012401	7.49658366014276	-27.5920943845667	1.39041551420901e-19	7.32285504150076e-17	34.8609854914998
"10548345"	-6.61944146785681	6.47806713801887	-27.5189561173847	1.47837504177272e-19	7.6698979779134e-17	34.8014792823045
"10503334"	-5.04502790621501	7.27215987928986	-27.478414041745	1.52960915293736e-19	7.8190020817798e-17	34.7684207629759
"10357833"	-4.64506548003881	7.91968094605026	-27.2882502880934	1.79579258191262e-19	8.91739287818326e-17	34.6126596970847
"10608638"	-6.60541988906314	5.83362729088842	-27.2671328780485	1.82819163350722e-19	8.95041425080434e-17	34.5952911759018
"10551883"	-4.9045527312773	8.18129122472638	-27.0630120584962	2.17458449238534e-19	1.04984106882381e-16	34.4266640469588
"10390328"	-5.4099173080075	7.92222096389595	-26.8935622085917	2.51384368444738e-19	1.18082711447826e-16	34.2856474192996
"10575799"	-4.16622531698554	8.76068690696863	-26.8076952664410	2.70636226988142e-19	1.25430870001438e-16	34.2138279016377
"10574104"	-4.25437290469346	8.75854332136294	-26.7856258034725	2.75828006328253e-19	1.26155019736448e-16	34.1953294605676
"10465059"	-4.0567886275899	8.00187452406135	-26.7364439132701	2.87774236117210e-19	1.29909512304340e-16	34.1540473958309
"10384458"	-5.8405126209177	9.03462303731373	-26.6180007060725	3.18806677010747e-19	1.38521501161170e-16	34.0542979363891
"10548314"	-4.35307037520028	6.08407180075767	-26.5136075264466	3.49044842769873e-19	1.49787638699763e-16	33.9659907198376
"10574157"	-3.71389237895498	9.32698176669464	-26.4236032583387	3.77509159946906e-19	1.56477201819865e-16	33.8895596895063
"10351644"	-5.06574491356173	7.43069134532396	-26.4216947998034	3.78138232245934e-19	1.56477201819865e-16	33.8879360636341
"10544588"	-5.5536419858828	8.03566457636698	-26.4050316262097	3.83677363613315e-19	1.56901472461163e-16	33.8737545652984
"10369431"	-3.76260711192262	7.20689648812318	-26.1799845474963	4.67336635399368e-19	1.84597970982750e-16	33.6812943366822
"10504755"	-4.64679915273116	8.86756168884792	-25.7522816556223	6.82887822276832e-19	2.60848139586183e-16	33.3106803499462
"10345824"	-6.18331605568032	7.78258726167157	-25.6203905749141	7.68527972019485e-19	2.90369916384753e-16	33.1950913854022
