"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"10461723"	-5.14271022877198	9.3876992016455	-39.3438929972961	3.56377740050875e-23	1.68260766307006e-19	42.6077121646165
"10497831"	-5.40347099896291	9.17978325671873	-39.2047958684648	3.87251475965491e-23	1.68260766307006e-19	42.5325897744669
"10488382"	-5.50882759899365	6.66663047518527	-37.0657785131999	1.44235074119961e-22	5.01361117640983e-19	41.3347331067353
"10585276"	-5.16161691906314	8.85547732909336	-36.2162152797799	2.48191830911347e-22	7.18929003539869e-19	40.8356278368853
"10524169"	-4.74618051904805	8.44534723781515	-33.3656073325171	1.68513529999075e-21	3.44560606045168e-18	39.0541453837758
"10578690"	-4.93367905832693	7.70302153824047	-33.1200735339696	2.00194285584922e-21	3.47937668346595e-18	38.8924679700854
"10359890"	-5.38979608638355	7.88961028806377	-31.9596894918561	4.59605979300933e-21	6.94604514804366e-18	38.1093556776883
"10390707"	-5.45531292092782	9.42053679858825	-31.5430855074066	6.23785533622664e-21	8.67311405948953e-18	37.820278763985
"10418848"	-4.76356436575228	7.79920538030055	-31.435098855886	6.75603907372878e-21	8.69777474825232e-18	37.7446435226131
"10448506"	-4.46083713839263	8.13765896747064	-31.3733899030836	7.07209169038388e-21	8.77949668420513e-18	37.7012901215013
"10360173"	-5.91014118288522	8.18407108049355	-31.2885081483354	7.53218169474189e-21	9.02822881755959e-18	37.6414995674431
"10550102"	-3.96486478105795	8.84194237737453	-30.6161339444885	1.2482081497654e-20	1.44625717619484e-17	37.1613481643427
"10549506"	-4.43513727180971	6.39852995310828	-30.5348325582458	1.32776919510866e-20	1.48881474909604e-17	37.1024910423145
"10563780"	-4.98769326393024	8.19220055829471	-30.3005983328608	1.58788681514408e-20	1.72484205295026e-17	36.9319383911401
"10462973"	-5.12958182125925	8.8676447112606	-30.1900960304879	1.72851226490747e-20	1.82069958570254e-17	36.8509683398793
"10462796"	-5.15903190827332	8.39674058886245	-29.9454305783416	2.08798727848388e-20	2.04018696320169e-17	36.6705137905428
"10474769"	-3.92825400841357	8.4374357230943	-29.4288361400545	3.12676377655897e-20	2.86016602297868e-17	36.284077886832
"10562132"	-3.67445833306501	8.01411771520535	-29.1715676101461	3.83285113270601e-20	3.41615141981695e-17	36.0888308979878
"10404389"	-4.70385408553426	7.27155020872394	-28.9616222664512	4.53140199583841e-20	3.93473880553676e-17	35.9280926419263
"10379127"	-3.90966470829633	7.77833140800852	-28.1873171619084	8.4875317748491e-20	6.86108382543616e-17	35.3240697067836
"10590494"	-4.518760237462	8.1664092246053	-28.1363625776563	8.85042700001297e-20	6.99183733001025e-17	35.2836897920268
"10467508"	-4.96508791148059	7.71650937014376	-28.0528571535827	9.48047078908602e-20	7.32313699174734e-17	35.2173427034268
"10351504"	-5.36704855854138	10.5382530725863	-27.8901833758847	1.08455543233016e-19	8.0210950697439e-17	35.0874784522461
"10427628"	-5.98717777728048	7.95127688421887	-27.8027972829060	1.16618640158426e-19	8.33177202322764e-17	35.0173787433529
"10432511"	-3.43037726089849	10.0105288121324	-27.7942552965482	1.17450180994866e-19	8.33177202322764e-17	35.0105137410542
"10591781"	-4.59091727543994	7.63719280314866	-27.7681825060003	1.20026678376989e-19	8.34425468076831e-17	34.9895455372216
"10605674"	-4.25763606858174	8.55162970360396	-27.4909647676367	1.51355387673587e-19	9.92662882176201e-17	34.7652810273051
"10575799"	-4.23911174931284	8.76068690696863	-27.2766850877361	1.81346160577582e-19	1.14610773485032e-16	34.5902595437652
"10350297"	-3.57246926206145	7.571999560773	-27.2477000393068	1.85854375146247e-19	1.15362465715778e-16	34.5664716248228
"10462866"	-4.97490520163515	7.36603157497836	-27.2013280220572	1.93311004948676e-19	1.17885798807298e-16	34.5283578304100
"10557156"	-4.08877559924391	8.8718755464779	-27.0311017595411	2.23462550090347e-19	1.33923417950698e-16	34.3878477530819
"10587508"	-4.16969086089943	6.98667867710268	-26.9440268511857	2.40740082819384e-19	1.38540506174626e-16	34.3156071981000
"10567863"	-4.74666996605366	8.02309556619016	-26.9325282947647	2.43123442941663e-19	1.38540506174626e-16	34.3060489391437
"10606694"	-4.46529971439694	6.52478691123034	-26.9033999643390	2.49271547819759e-19	1.38803532314018e-16	34.2818162953804
"10450374"	-5.21951178506703	9.95902202283332	-26.8926954083596	2.51571419326326e-19	1.38803532314018e-16	34.272903850365
"10490903"	-3.76944051637209	6.34178651892883	-26.7657553774160	2.80591147456674e-19	1.47778004327182e-16	34.1669262213132
"10452709"	-3.77924137952912	7.837536574121	-26.6590864311977	3.07665434089935e-19	1.59618664014420e-16	34.0774573530259
"10573261"	-4.07768633038074	9.34576801392483	-26.6226195463524	3.17533504670768e-19	1.62315656211116e-16	34.0467832551265
"10495967"	-5.8513943170669	7.3301920801503	-26.4357825367368	3.73520154017250e-19	1.83191207700564e-16	33.8889218508585
"10420877"	-4.94115996474231	7.12310088015035	-26.4337516113798	3.74182271195054e-19	1.83191207700564e-16	33.8871993914680
"10572906"	-3.4394993624233	9.28907503478534	-26.3467350147256	4.03729849824657e-19	1.94911799720904e-16	33.8132671711766
"10556266"	-3.72415632430196	8.77273965865397	-25.9691488690326	5.63003755684139e-19	2.57500138783956e-16	33.4894362307451
"10418868"	-4.96373154914326	7.99397606431624	-25.8873841956149	6.05401362137807e-19	2.72514273248188e-16	33.4186574483641
"10474381"	-4.23136113564379	7.22473534540923	-25.8760955952578	6.11510739739893e-19	2.72514273248188e-16	33.4088670863327
"10504470"	-3.41505300052999	7.78105541532031	-25.7196445114883	7.03110368773257e-19	3.09368562260233e-16	33.2727157555934
