"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"10548525"	8.57409364748068	5.22880610470485	62.7349860154134	5.94047123119668e-28	2.06490779996397e-23	51.9664706631922
"10548504"	7.9900214079485	5.74572046704271	59.7231305507056	1.90287860406240e-27	2.78441751703159e-23	51.0643393554194
"10548422"	7.09438976823137	5.22542478458395	59.1367042781352	2.40312213782934e-27	2.78441751703159e-23	50.8807873917349
"10548513"	8.00597026387172	5.26289422693687	54.1332438871766	1.94216250685770e-26	1.68773921845935e-22	49.199467348131
"10548307"	7.54540103793104	5.70726482428182	45.9430144099467	9.30768325373152e-25	6.47070139799416e-21	45.9222686026817
"10548511"	7.04510639048021	4.32158564606605	42.2115420974819	6.82997988875143e-24	3.39157287047143e-20	44.1622157875569
"10469255"	5.57211703531999	8.87701756622722	41.809064874347	8.55470814816611e-24	3.71702069037818e-20	43.9606399022038
"10549647"	7.96236074374907	6.4144463592833	40.5900015315258	1.71428160072673e-23	5.95884284412612e-20	43.3350422683707
"10608686"	7.10790711066134	4.907353885044	39.9541740466306	2.48342333907825e-23	7.77678670488465e-20	42.9994686570751
"10589994"	6.06108152064503	7.63642737352007	39.8217000205988	2.68473649190494e-23	7.77678670488465e-20	42.9287272889800
"10363475"	5.72808436779278	8.53918682363873	38.7929343817727	4.9609552908347e-23	1.32648312238011e-19	42.3694133139886
"10380672"	4.05967542797432	8.1317145094095	38.5283613614238	5.82443753347294e-23	1.44612463331085e-19	42.2226580650548
"10548286"	6.04353399115997	5.21480605743449	36.9293098049035	1.57246365451135e-22	3.02975064009800e-19	41.3091336165343
"10530516"	5.94950351996682	8.5772650184913	36.847682740938	1.65607773768302e-22	3.02975064009800e-19	41.2612400616067
"10542214"	7.2865292330357	7.0801184145332	36.1798998616027	2.54086795553847e-22	4.41602850672585e-19	40.8646515380063
"10430344"	5.97810828165485	8.38342072281463	35.9889457193712	2.87574672457431e-22	4.76004553077157e-19	40.7496567518623
"10548535"	6.73137702106178	5.75532681975309	35.8590782129873	3.12950807254963e-22	4.94462275462841e-19	40.6710385877667
"10608652"	5.68248666993634	5.36691266225699	34.6038813465704	7.19775707189365e-22	1.00077614327609e-18	39.8935902191354
"10369431"	4.93329606002057	7.20689648812318	34.3255649016109	8.69185208707305e-22	1.11899547609874e-18	39.7167644844212
"10548409"	7.18441350370311	6.3219505183583	33.7525874864905	1.28760819037034e-21	1.56433199225981e-18	39.3474665968960
"10545135"	5.65581129446675	7.38916441917909	33.7330670590389	1.30511012012469e-21	1.56433199225981e-18	39.3347585294868
"10461605"	5.64614503611985	7.27315789464379	33.6793944063349	1.35452129779706e-21	1.56943867704753e-18	39.2997733763195
"10351197"	5.56057388706177	10.6178017967023	33.5786335201146	1.45261384268238e-21	1.62880184424644e-18	39.2339220569586
"10548314"	5.49475337520454	6.08407180075767	33.4673510620853	1.56959296718801e-21	1.70497036060798e-18	39.1609310452519
"10465059"	5.04776169473006	8.00187452406135	33.2674955063857	1.80495747755752e-21	1.875261399889e-18	39.0291450140456
"10489759"	5.03351418631407	7.00685378817154	33.2445338422178	1.83426028757842e-21	1.875261399889e-18	39.0139460710518
"10548396"	6.40497948390341	4.76684771564288	32.533280882037	3.03690219291983e-21	3.01607772073981e-18	38.5371416891679
"10420308"	6.44821533697212	7.44465256259639	32.1389046941583	4.03487532586024e-21	3.79060179261897e-18	38.2676438398852
"10608659"	5.5633998421339	4.30467830966871	31.9236355914134	4.71845654133627e-21	4.20547562504741e-18	38.1189611232694
"10389207"	6.26600785099684	8.69489145341855	31.7614655228404	5.31244173793728e-21	4.6165118702675e-18	38.0062064802506
"10412211"	7.73858162463798	7.49658366014276	31.4063627966249	6.90134522943895e-21	5.85099415061702e-18	37.7570374787039
"10532744"	4.57791585087428	10.5167244479671	31.3301381051029	7.30275949463725e-21	6.04390285794264e-18	37.7031410390335
"10412267"	5.33660600193732	6.98629112261927	30.9331221048504	9.82429476345613e-21	7.93373498042398e-18	37.4200362374497
"10551883"	5.60062276310653	8.18129122472638	30.9038825103155	1.00427025068658e-20	7.93373498042398e-18	37.3990262743878
"10562192"	4.35120151976546	10.6901578950321	30.5923059138703	1.27099844662355e-20	9.60432739231185e-18	37.1737642490704
"10385428"	4.1528847189514	9.12704278392117	30.4795945508992	1.38482256346128e-20	1.00528782192005e-17	37.0916497888061
"10548455"	4.36045434535636	4.78839502288421	30.4538305207217	1.41230046013336e-20	1.00528782192005e-17	37.0728325457423
"10548401"	6.63985370588147	6.1593769401449	30.4493650984615	1.41712034735565e-20	1.00528782192005e-17	37.0695693507719
"10608638"	7.3139608064258	5.83362729088842	30.1919854487762	1.72600186281700e-20	1.15376586060613e-17	36.880585473093
"10548345"	6.87103902323666	6.47806713801887	28.5649208138565	6.23728398210948e-20	3.67471171556145e-17	35.6434608349639
"10607738"	4.62287237982616	6.68093386245049	27.6547429622124	1.31940521859947e-19	6.93916750307533e-17	34.9176157586488
"10548532"	7.0382102074822	5.35873945011682	27.5574677887618	1.43135962038358e-19	7.21073339196135e-17	34.8385283475705
"10345824"	6.63091158746235	7.78258726167157	27.4749896671451	1.53402042440554e-19	7.61750713604806e-17	34.7712372697604
"10396402"	5.35094178999493	8.78034223131283	27.2030460131482	1.93029270702080e-19	9.0671587156815e-17	34.5478314623186
"10529711"	3.78680248000544	6.4558172488597	26.6175436376082	3.18932955379514e-19	1.38944669227242e-16	34.0586690307159
"10351644"	5.09995919059466	7.43069134532396	26.6001481568091	3.23777854068084e-19	1.38944669227242e-16	34.0439621004301
