"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"10380672"	4.00203378130853	8.1317145094095	37.9813131474450	8.14386075441258e-23	1.41540299911691e-18	41.3890251204875
"10385428"	4.99456701709515	9.12704278392117	36.6570198646865	1.86992557072054e-22	2.16662042794154e-18	40.6664074052393
"10461605"	5.94793388686822	7.27315789464379	35.4795723448693	4.01362993156558e-22	2.79027552842439e-18	39.9952537169666
"10593015"	7.00209865976871	8.6913105411727	34.839378151561	6.14297394606034e-22	3.55882957275096e-18	39.618409036495
"10538979"	5.50151470418332	8.2171249498574	33.9630950844862	1.11367621929305e-21	5.53019791180378e-18	39.0883312990362
"10469255"	4.4225754994428	8.87701756622722	33.1837513095744	1.91424430996751e-21	7.04311759505023e-18	38.6024824407654
"10362350"	5.51683830579865	7.1913492232001	33.1068024475550	2.02074106774084e-21	7.04311759505023e-18	38.5537532788792
"10420308"	6.64164002023543	7.44465256259639	33.102963295808	2.02621334725265e-21	7.04311759505023e-18	38.5513184454164
"10430344"	5.39681353242961	8.38342072281463	32.489479970144	3.13375538485888e-21	9.90266701615405e-18	38.1577571473271
"10548409"	6.60603267339968	6.3219505183583	31.0353372105615	9.09885944361177e-21	2.63563628549954e-17	37.1879267156276
"10457168"	5.17767008905777	6.47294777788455	30.1782358843825	1.7443574701103e-20	4.33099040435958e-17	36.5905699657729
"10439583"	4.39765709121113	8.12653901748517	29.683106256136	2.56104026017580e-20	5.56385996523194e-17	36.2363234086824
"10584821"	4.56272300877024	7.81914032480745	29.0781921979695	4.12856721629075e-20	7.97272202434813e-17	35.7940678311862
"10607738"	4.80513919669383	6.68093386245049	28.7450914635062	5.39198575224731e-20	9.37127123740582e-17	35.5459658833836
"10593024"	4.35924963166333	8.72838612536	28.4365469054941	6.92293455606377e-20	1.09382365985808e-16	35.313185222122
"10538993"	5.25416806140194	8.59514198593845	27.8048181364626	1.16422812912337e-19	1.66406550667580e-16	34.827438752707
"10584628"	4.52389605677443	9.6980100996671	27.7716314979679	1.19682501918571e-19	1.66406550667580e-16	34.8015746475065
"10356866"	3.61576497642088	6.78934422283494	26.0794031624831	5.10668316856856e-19	6.82724257459397e-16	33.4345810769512
"10589994"	3.93310792398394	7.63642737352007	25.8407750108698	6.31043985201457e-19	8.12410700948246e-16	33.2338933006093
"10455784"	3.83768397777817	8.9080211588267	25.7421177968836	6.89119816151063e-19	8.55493028907534e-16	33.1503244401658
"10454632"	3.93813271436102	6.92794937783764	25.4057863126831	9.32561032799139e-19	1.11778694827924e-15	32.8627642969831
"10493812"	3.78769443079892	5.96518247142339	25.3585664087593	9.73313199701447e-19	1.12774556072074e-15	32.8220581411181
"10389207"	4.84330558749641	8.69489145341855	24.5499985145047	2.04843307953982e-18	2.09422158367071e-15	32.1119384157214
"10415015"	4.75294229186613	5.39909057002572	24.292139986773	2.60952985684309e-18	2.38703310062805e-15	31.8801414830652
"10404422"	4.83334181128404	7.60205327224637	23.9745986369272	3.52749568629963e-18	3.14399359117372e-15	31.5910362199206
"10390328"	4.71413054959614	7.92222096389595	23.4346952045521	5.93960140945777e-18	4.80140802308726e-15	31.0899716508623
"10493076"	3.41928365294884	8.99461756902946	23.3305692927929	6.57584426433011e-18	5.19491696882079e-15	30.9919273638231
"10544588"	4.8078352744593	8.03566457636698	22.8590612787807	1.04802100425060e-17	7.58941877244811e-15	30.5421041110169
"10414885"	4.43864992041894	6.18702200642293	22.340890172632	1.76718187095845e-17	1.17945373294679e-14	30.0364082195889
"10472235"	3.91241664049131	6.27178410170887	22.3237317740308	1.79836156059206e-17	1.17945373294679e-14	30.0194545305636
"10606016"	2.4619307967645	11.6645960053539	22.1694091477755	2.10588021553229e-17	1.35556289429449e-14	29.8663625394506
"10571399"	4.84391005214226	5.64748557894467	21.9389809597651	2.67062763878454e-17	1.66883915649718e-14	29.6357062101388
"10461765"	2.80373114049418	8.92870422571224	21.9288352818894	2.69885119318317e-17	1.66883915649718e-14	29.6254930628368
"10598013"	4.53668764033973	6.79723822362068	21.889458798874	2.81136184566083e-17	1.66883915649718e-14	29.5858085275328
"10360173"	4.11125358717421	8.18407108049355	21.7651300335564	3.19973297349381e-17	1.85371196931075e-14	29.4600228491237
"10404429"	4.52248887813003	6.87547455826135	21.7296011748866	3.32067570128801e-17	1.89224077666838e-14	29.4239418532949
"10530516"	3.49407333610819	8.5772650184913	21.6402100327194	3.64646753399609e-17	2.04437437873716e-14	29.3328928605108
"10345509"	3.02615088892276	8.72746195606915	21.4512685467668	4.44925134396869e-17	2.41649963619300e-14	29.1391720417407
"10466054"	3.05265372828184	7.98036567432376	21.0942813467381	6.50813749219259e-17	3.27859216273354e-14	28.7683527348051
"10500677"	5.34390083285733	10.3855669590658	20.734219770267	9.6078092509674e-17	4.57489656936475e-14	28.3878306899834
"10376796"	3.02700965237065	9.05892798120096	20.6293653541495	1.07742052070818e-16	5.0609644999752e-14	28.2757628861901
"10390640"	4.02663151647426	10.2557991349165	20.5091282205274	1.22949486744521e-16	5.55029111589553e-14	28.146546797934
"10407481"	3.12615991650331	9.66862940036392	20.420216916818	1.35619810732706e-16	6.0437751552165e-14	28.0505059060597
"10412211"	5.02382351827215	7.49658366014276	20.3887523184784	1.40422698167486e-16	6.1785987193694e-14	28.0164178176211
"10466040"	4.00713669791859	8.22478953805415	20.0777364641565	1.9859539666305e-16	8.52243949136744e-14	27.6766137884115
"10446777"	3.29449906365476	8.17934362597347	19.993617010166	2.18293617807093e-16	9.14203151201753e-14	27.5838068983229
"10465059"	3.03075077633532	8.00187452406135	19.9742963179053	2.2309830088596e-16	9.2320201652333e-14	27.5624360848783
"10461622"	4.58218286524938	8.76443472142073	19.9590609196575	2.26964517319877e-16	9.28151367298696e-14	27.5455695815315
"10346799"	3.1700078567729	7.28691400991889	19.946792551225	2.30128405397117e-16	9.3014690367486e-14	27.5319784701757
"10567043"	2.37857225517963	10.1356222839295	19.8513379111298	2.56366837434553e-16	1.01264900786648e-13	27.4259481830067
"10486061"	3.81098786788957	10.2675189168216	19.5795225290548	3.49540749028457e-16	1.30645553077733e-13	27.1212328288977
"10567825"	2.96716764046832	9.19100444131542	19.3805521814394	4.39651317352965e-16	1.60866103065148e-13	26.8955267665243
"10432640"	2.83390813088809	10.0024991791457	19.1549771451073	5.71662051400769e-16	2.02765029660109e-13	26.6368781467442
"10576661"	3.19316289803632	10.1133439014556	18.9999489281431	6.85800557364796e-16	2.36024033405944e-13	26.4573907745961
"10385966"	2.97877039620383	10.6594165053676	18.8559923189687	8.13056907407342e-16	2.77077040210580e-13	26.2894425175072
"10599411"	3.85312840036035	7.09479270719317	18.8249069076172	8.43623721236853e-16	2.84702529613524e-13	26.2530132634520
"10591739"	2.55961849951318	9.1538486594375	18.7840885659923	8.85585220126887e-16	2.95989829342410e-13	26.2050893682845
"10368970"	2.9341314866908	6.98301434836749	18.2301917702060	1.72721444188671e-15	5.559071666665e-13	25.5446620965804
"10454015"	2.79431812776632	5.81913269351349	18.1853551035783	1.82459352520835e-15	5.7657155396584e-13	25.4903635381443
"10366848"	2.37896571845414	9.49898042389387	18.13768410246	1.93440740707884e-15	5.95044260796994e-13	25.4324922982788
"10483381"	3.18830024883315	6.69721076996164	18.0512437333807	2.15139665244042e-15	6.55987259989727e-13	25.3271857147298
"10592503"	3.50620585005607	6.92237332336905	17.8561619182412	2.73926843073198e-15	8.13820261984988e-13	25.0877548252181
"10548401"	3.88945307053398	6.1593769401449	17.8364436663894	2.8073349801178e-15	8.20024906797435e-13	25.0634161664011
"10417798"	2.26604518903647	7.59334393841662	17.7845002744394	2.99518513389592e-15	8.46444189058717e-13	24.9991793681266
"10432957"	3.14471234629001	8.18167190990773	17.6105882072049	3.72498326320449e-15	1.02283250823460e-12	24.7828117741501
"10464594"	3.34781771153732	6.9177072511477	17.6080206670005	3.73704627577082e-15	1.02283250823460e-12	24.7796023989226
"10565994"	4.72970985615706	6.23142120059524	17.5761407195503	3.89025335711638e-15	1.05644692729192e-12	24.7397164069896
"10398996"	2.61986493236486	6.5078700555324	17.4997011252524	4.28477852956258e-15	1.14568385913535e-12	24.6438030457093
"10397359"	1.71995531807855	7.49491040823696	17.4824673299195	4.37933533125407e-15	1.16202821461367e-12	24.6221244854168
"10447799"	3.20043496240256	9.18317718524969	17.4152230672236	4.76951802483578e-15	1.25597307987342e-12	24.5373453935928
"10606058"	4.96298677977117	8.23438710216124	17.3424005197810	5.23304888386925e-15	1.34741317928367e-12	24.4451873439547
"10351667"	3.00585846424987	7.04303353165312	17.3024157875912	5.50723223706133e-15	1.40758376882538e-12	24.3944322368292
"10479981"	2.7148799237883	8.28635317695091	16.9689339246669	8.46524000536409e-15	2.08814641068171e-12	23.9668214777580
"10515220"	2.00558070507953	7.4681788499577	16.9152724242967	9.07768612991479e-15	2.20657601311775e-12	23.8972871182425
"10544660"	2.53881533736755	7.93954854260078	16.6717264468940	1.24938193731943e-14	2.93435919873132e-12	23.5791244352405
"10562044"	3.09684118352492	7.44688668468775	16.5262366407380	1.51491154597986e-14	3.46436350909605e-12	23.3870192278994
"10368947"	3.31763775518759	8.41167910435018	16.5084981381717	1.55107883380774e-14	3.52388890608869e-12	23.3634916246166
"10523595"	2.38091790317462	5.68447197032146	16.4406394641973	1.69792454230677e-14	3.8077327155215e-12	23.2732734149372
"10363475"	2.41715578074237	8.53918682363873	16.3699693601045	1.86627813327764e-14	4.15845050722633e-12	23.1789562350552
"10441530"	3.63232902551984	7.98085959575411	16.3575183329398	1.8976917535346e-14	4.20151371674285e-12	23.1623005938940
"10345423"	1.88488098603909	8.82136549041596	16.2239556787075	2.27134510139676e-14	4.93449723278445e-12	22.9829076855962
"10349648"	3.52891956965545	8.43600362698536	16.2052914332769	2.32934611601309e-14	5.02907273246055e-12	22.9577325994514
"10518927"	2.27995354507509	9.80341163820317	16.0221386357792	2.98717873860084e-14	6.25508029841958e-12	22.7092902002442
"10535759"	1.63061754515012	7.948598649252	15.8986997659824	3.53714557607187e-14	7.17473952685794e-12	22.5404027434763
"10415019"	4.5991886221716	7.50993251152054	15.8960144182292	3.55021633665008e-14	7.17473952685794e-12	22.5367156313576
"10364056"	2.84714291835499	6.8337533160295	15.8888356984189	3.58540510052688e-14	7.20397001701238e-12	22.5268561624599
"10548345"	3.81390124811780	6.47806713801887	15.8555040621840	3.7535984523315e-14	7.37147357079338e-12	22.4810251802512
"10412562"	2.45595791251714	8.26679130312266	15.8417134416074	3.82556344116196e-14	7.47059467498818e-12	22.4620378669487
"10606315"	3.20296608334437	7.63589362223207	15.7806259677669	4.16199375163091e-14	7.9983087765731e-12	22.3777528557680
"10416566"	2.3295020657008	8.79641339608745	15.7428636260932	4.38519769329715e-14	8.28421042494614e-12	22.325504737436
"10514255"	2.15138334835726	8.53578687987775	15.6495883803777	4.99141720193272e-14	9.37846821292873e-12	22.1959686701481
"10484318"	2.5747605726809	6.5620654703056	15.6301313883329	5.12848839079434e-14	9.5842073367748e-12	22.1688612208354
"10590623"	3.55356444179125	6.77836625774157	15.5799870213945	5.50005999719574e-14	1.01512296151374e-11	22.0988618148409
"10481949"	3.08388162653342	7.82117587773843	15.5681601222018	5.59170323923908e-14	1.02298739261026e-11	22.0823228412439
"10514133"	3.75797866543758	7.8874072145359	15.4273827639334	6.81267600572193e-14	1.22066297916956e-11	21.8845981417223
"10516956"	2.27180264714151	5.87812492491826	15.4123921339209	6.95807940662228e-14	1.24032225730354e-11	21.8634496842184
"10547906"	1.9340613647529	6.94793838986065	15.3823097749117	7.2596680083425e-14	1.28747989780605e-11	21.8209553693989
"10476252"	2.36644716527492	8.8430355961527	15.2577722262856	8.66007117247919e-14	1.49812517625903e-11	21.6442519777692
"10548396"	3.00382353455873	4.76684771564288	15.2575406393520	8.66292176145184e-14	1.49812517625903e-11	21.6439222060685
"10412218"	3.26042320325909	5.54675532667669	15.0411601485488	1.18030675322552e-13	2.00133964595704e-11	21.3338729407382
"10346783"	3.11147397625037	8.15604675597179	15.0106221743717	1.23333287528946e-13	2.08109955073115e-11	21.2898024692313
"10576639"	3.1334410236397	6.95675769905276	14.9182028159754	1.40939823566698e-13	2.36669964597991e-11	21.1559523238276
"10557342"	2.36617446666629	8.60064734109087	14.9065467241604	1.43338774028094e-13	2.39541143520027e-11	21.1390198496371
"10411680"	1.75269455312252	6.41994418933862	14.8724146006949	1.50610287434944e-13	2.49295885297078e-11	21.0893710320686
"10538126"	3.28021419691402	9.4714964661641	14.7754408305917	1.73433453684270e-13	2.84365417455906e-11	20.9477727311621
"10530819"	1.92937332854184	6.61634883786734	14.7255172224362	1.86555172709589e-13	3.04444028327949e-11	20.8745627852076
"10516620"	2.65192717744440	10.6427126487235	14.6472402585957	2.09240785155975e-13	3.38288822884730e-11	20.7593432743315
"10414817"	2.75256722398690	7.46923022703332	14.5790996956994	2.31316816488484e-13	3.70533296826714e-11	20.6586129046151
"10510574"	2.47565024927191	7.72952271966106	14.5687372566757	2.34880031646598e-13	3.74515133029163e-11	20.6432590739460
"10524345"	1.70666530005350	8.9674148216991	14.4930611378870	2.62691000613269e-13	4.16946994580696e-11	20.5308472386207
"10568355"	2.20968732808702	8.06911985403326	14.4720104202025	2.71019329100914e-13	4.28210539979444e-11	20.4994887155629
"10410099"	2.68085220416882	7.484192980651	14.4312574869551	2.87930193018556e-13	4.52871199516969e-11	20.4386698403394
"10538420"	1.59751137531322	9.54185186520067	14.3464012013913	3.26748880014032e-13	5.07044244164631e-11	20.3115616997951
