"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"10538979"	5.75702759364229	8.2171249498574	35.5404804095509	3.85584309009724e-22	1.34029105811780e-18	40.02792912985
"10472235"	6.15234898530907	6.27178410170887	35.1044894111848	5.14564751335894e-22	1.62602461422143e-18	39.7728570532141
"10362350"	5.52620530397339	7.1913492232001	33.1630142378791	1.94235608212290e-21	4.21976858841199e-18	38.5870515960223
"10538993"	5.87368165309279	8.59514198593845	31.0832558546186	8.7781923781584e-21	1.69516648369326e-17	37.2187887163046
"10415015"	5.94240266130962	5.39909057002572	30.3714348801043	1.50405075466412e-20	2.58726299927716e-17	36.7251147017404
"10466054"	3.9652154007546	7.98036567432376	27.4002152582875	1.63371874029738e-19	1.77983427974965e-16	34.5083418401913
"10584821"	4.23755301623670	7.81914032480745	27.0058867957508	2.28328791824877e-19	2.39787672037505e-16	34.1936004359992
"10390763"	4.59078425779517	7.7742368060425	26.974478778974	2.34544903604004e-19	2.39787672037505e-16	34.1683097634719
"10422321"	3.68687270172592	6.99414169334613	25.9725765550807	5.61295357794614e-19	5.13437543077389e-16	33.3438514936728
"10407173"	4.42068611750080	9.06607028419795	25.1747491245150	1.15045773755344e-18	9.29997929240874e-16	32.6617853824275
"10414885"	4.82098679451103	6.18702200642293	24.2652920214339	2.67650909323872e-18	1.97947778895698e-15	31.8549679314316
"10550877"	3.17577506491633	8.9069775694975	24.1360070777361	3.02501810706278e-18	2.19061727919796e-15	31.7376312238892
"10589654"	3.45013585418597	6.48173349895054	24.0044126769544	3.42852959544183e-18	2.43215691301139e-15	31.6175046765104
"10513729"	3.47759656936162	5.59515771431558	23.7378802623933	4.4268848907641e-18	3.01722585888157e-15	31.3720284054838
"10565994"	6.17023600896094	6.23142120059524	22.9293000341568	9.7718096104395e-18	6.17578367379776e-15	30.6090297344371
"10573082"	4.16107234377228	7.41916830832147	22.2234343258254	1.99243436771800e-17	1.15428364369796e-14	29.919480847974
"10593024"	3.3387427862972	8.72838612536	21.7795088306732	3.15209706661673e-17	1.73915704818409e-14	29.4740661451435
"10478219"	3.65085643280043	8.72279878148952	21.2329074857328	5.61073369979651e-17	2.95498641522616e-14	28.9126342008433
"10454632"	3.25950458462817	6.92794937783764	21.0278025065772	6.99026362675388e-17	3.62659050247709e-14	28.6981508181252
"10483046"	4.34754242277632	9.30834888639993	20.9829270744897	7.33659473317639e-17	3.75029460184134e-14	28.6509403705971
"10554118"	4.87602342114944	7.56770580831782	20.9692266356749	7.44584827528228e-17	3.75098095722916e-14	28.6365066651013
"10381096"	3.79935983180385	7.51474236995596	20.9274980765892	7.78915540618742e-17	3.86787202741535e-14	28.5924858229713
"10472860"	4.27242867202703	6.91715634785934	20.1479607707113	1.83568950420746e-16	8.28682690470797e-14	27.753464419911
"10498599"	3.31555599591622	8.09722795861498	19.9654329799329	2.25339103548096e-16	9.91492055611623e-14	27.5523178712146
"10466040"	3.97547499884459	8.22478953805415	19.9190956944654	2.37440905025792e-16	1.03168073233707e-13	27.50096315256
"10414860"	4.25376359731971	5.5090383846207	19.7390592144189	2.91256694810495e-16	1.19106855430739e-13	27.300302548213
"10593015"	3.90685211033333	8.6913105411727	19.4387860936856	4.11018366797963e-16	1.62352254885195e-13	26.9615777354190
"10475502"	2.98804148914727	7.38935021852428	19.2210379505554	5.29203112796635e-16	2.04390002231234e-13	26.7127156389667
